brand,level,energy_code,energy_name,fuel_grade,launch_date,launch_year,launch_month,launch_season,price_wan,warranty_years,warranty_km_wan,displacement_L,horsepower,engine_type,is_electric,gear_count,trans_type,doors,seats,body_type,body_structure
丰田,中型车,4,油电混合,92,2024-07-12,2024,7,Q3,22.68,3,10.0,2.0,152.0,L4,0,0.0,CVT,4,5,SEDAN,4门5座三厢车
丰田,中型车,4,油电混合,92,2024-07-12,2024,7,Q3,23.68,3,10.0,2.0,152.0,L4,0,0.0,CVT,4,5,SEDAN,4门5座三厢车
丰田,中型车,4,油电混合,92,2024-07-12,2024,7,Q3,23.68,3,10.0,2.5,185.0,L4,0,0.0,CVT,4,5,SEDAN,4门5座三厢车
丰田,中型车,4,油电混合,92,2024-07-12,2024,7,Q3,25.68,3,10.0,2.5,185.0,L4,0,0.0,CVT,4,5,SEDAN,4门5座三厢车
潍柴英致,紧凑型MPV,0,纯电动,0,2018-09-26,2018,9,Q3,14.68,,,,,,0,,,5,5,MPV,5门5座MPV
潍柴英致,紧凑型MPV,0,纯电动,0,2018-09-26,2018,9,Q3,14.68,,,,,,0,,,5,7,MPV,5门7座MPV
金杯,轻客,1,汽油,92,2023-03-21,2023,3,Q1,5.29,,,1.5,102.0,L4,0,5.0,MT,,,BUS,客车
金杯,轻客,1,汽油,92,2023-03-21,2023,3,Q1,5.29,,,1.5,102.0,L4,0,5.0,MT,,,TRUCK,货车
金杯,轻客,1,汽油,92,2023-03-21,2023,3,Q1,5.49,,,1.5,102.0,L4,0,5.0,MT,,,TRUCK,货车
金杯,轻客,1,汽油,92,2023-03-21,2023,3,Q1,5.49,,,1.6,116.0,L4,0,5.0,MT,,,TRUCK,货车
金杯,轻客,1,汽油,92,2023-03-21,2023,3,Q1,5.59,,,1.5,102.0,L4,0,5.0,MT,,,BUS,客车
金杯,轻客,1,汽油,92,2023-03-21,2023,3,Q1,5.69,,,1.6,116.0,L4,0,5.0,MT,,,TRUCK,货车
金杯,轻客,1,汽油,92,2023-03-21,2023,3,Q1,6.19,,,1.6,116.0,L4,0,5.0,MT,,,TRUCK,货车
比亚迪,紧凑型车,2,插电式混合动力,92,2019-03-28,2019,3,Q1,13.69,6,15.0,1.5,154.0,L4,0,6.0,DCT,4,5,SEDAN,4门5座三厢车
比亚迪,紧凑型车,2,插电式混合动力,92,2019-03-28,2019,3,Q1,13.69,6,15.0,1.5,160.0,L4,0,6.0,DCT,4,5,SEDAN,4门5座三厢车
比亚迪,紧凑型车,2,插电式混合动力,92,2019-03-28,2019,3,Q1,14.69,6,15.0,1.5,154.0,L4,0,6.0,DCT,4,5,SEDAN,4门5座三厢车
比亚迪,紧凑型车,2,插电式混合动力,92,2019-03-28,2019,3,Q1,14.69,6,15.0,1.5,160.0,L4,0,6.0,DCT,4,5,SEDAN,4门5座三厢车
比亚迪,紧凑型车,0,纯电动,0,2019-05-16,2019,5,Q2,14.99,6,15.0,,,EV,1,1.0,EV,4,5,SEDAN,4门5座三厢车
比亚迪,紧凑型车,2,插电式混合动力,92,2019-03-28,2019,3,Q1,15.69,6,15.0,1.5,154.0,L4,0,6.0,DCT,4,5,SEDAN,4门5座三厢车
比亚迪,紧凑型车,2,插电式混合动力,92,2019-03-28,2019,3,Q1,15.69,6,15.0,1.5,160.0,L4,0,6.0,DCT,4,5,SEDAN,4门5座三厢车
比亚迪,紧凑型车,0,纯电动,0,2019-05-16,2019,5,Q2,16.99,6,15.0,,,EV,1,1.0,EV,4,5,SEDAN,4门5座三厢车
